user_id,product_id,rating,timestamp
U088,P041,3.5,2025-05-19 23:59:42
U065,P032,4.5,2025-05-22 23:59:42
U007,P006,4.0,2025-02-13 23:59:42
U055,P018,4.5,2025-07-14 23:59:42
U001,P022,4.5,2025-06-22 23:59:42
U082,P017,3.5,2025-06-14 23:59:42
U095,P029,4.0,2025-03-06 23:59:42
U091,P028,3.0,2025-03-04 23:59:42
U002,P008,4.5,2025-07-06 23:59:42
U089,P010,4.0,2025-03-08 23:59:42
U005,P024,4.5,2025-02-26 23:59:42
U071,P010,4.0,2025-04-06 23:59:42
U017,P003,3.5,2025-05-08 23:59:42
U047,P003,4.0,2025-04-25 23:59:42
U027,P044,4.5,2025-05-23 23:59:42
U086,P007,3.0,2025-04-26 23:59:42
U100,P036,3.5,2025-04-12 23:59:42
U080,P048,4.0,2025-06-16 23:59:42
U031,P011,5.0,2025-06-10 23:59:42
U053,P002,4.5,2025-06-10 23:59:42
U095,P022,5.0,2025-04-11 23:59:42
U086,P048,4.0,2025-05-23 23:59:42
U035,P011,3.0,2025-01-27 23:59:42
U014,P025,4.0,2025-07-16 23:59:42
U061,P015,4.0,2025-06-04 23:59:42
U059,P023,5.0,2025-05-08 23:59:42
U030,P015,4.0,2025-07-19 23:59:42
U085,P013,4.5,2025-04-14 23:59:42
U043,P018,4.0,2025-07-08 23:59:42
U099,P018,3.5,2025-04-27 23:59:42
U083,P033,4.0,2025-04-14 23:59:42
U087,P035,5.0,2025-05-02 23:59:42
U004,P008,5.0,2025-05-20 23:59:42
U023,P038,3.5,2025-05-19 23:59:42
U005,P007,4.0,2025-02-23 23:59:42
U056,P023,3.5,2025-05-06 23:59:42
U056,P039,5.0,2025-03-17 23:59:42
U015,P025,5.0,2025-02-28 23:59:42
U025,P017,3.5,2025-07-14 23:59:42
U091,P028,3.5,2025-07-25 23:59:42
U067,P035,4.5,2025-01-31 23:59:42
U093,P048,3.5,2025-02-04 23:59:42
U026,P024,4.0,2025-04-06 23:59:42
U009,P043,3.5,2025-05-02 23:59:42
U080,P021,4.5,2025-02-06 23:59:42
U016,P047,4.5,2025-05-10 23:59:42
U065,P020,4.0,2025-02-05 23:59:42
U053,P021,5.0,2025-04-13 23:59:42
U090,P019,3.5,2025-03-06 23:59:42
U017,P013,4.0,2025-04-09 23:59:42
U086,P025,4.0,2025-02-02 23:59:42
U096,P012,4.0,2025-02-18 23:59:42
U073,P020,4.5,2025-04-13 23:59:42
U071,P001,4.5,2025-05-09 23:59:42
U037,P014,3.0,2025-04-06 23:59:42
U075,P039,5.0,2025-02-08 23:59:42
U042,P030,4.5,2025-04-03 23:59:42
U057,P044,5.0,2025-06-01 23:59:42
U066,P031,3.5,2025-06-12 23:59:42
U085,P006,3.5,2025-05-14 23:59:42
U066,P043,4.0,2025-02-13 23:59:42
U080,P022,5.0,2025-07-02 23:59:42
U097,P016,4.5,2025-02-03 23:59:42
U040,P015,4.0,2025-06-05 23:59:42
U019,P002,4.0,2025-07-14 23:59:42
U032,P031,4.0,2025-02-19 23:59:42
U099,P005,4.0,2025-03-31 23:59:42
U054,P041,3.5,2025-02-28 23:59:42
U025,P046,4.5,2025-01-28 23:59:42
U050,P032,4.0,2025-04-14 23:59:42
U032,P010,3.5,2025-02-08 23:59:42
U089,P001,4.0,2025-06-28 23:59:42
U100,P028,3.5,2025-05-30 23:59:42
U023,P045,4.5,2025-03-15 23:59:42
U060,P004,5.0,2025-03-05 23:59:42
U032,P008,4.0,2025-03-31 23:59:42
U018,P030,5.0,2025-02-05 23:59:42
U068,P036,4.0,2025-02-23 23:59:42
U041,P049,5.0,2025-04-03 23:59:42
U079,P047,5.0,2025-03-18 23:59:42
U055,P036,3.5,2025-04-02 23:59:42
U021,P048,3.5,2025-03-26 23:59:42
U058,P017,3.5,2025-05-23 23:59:42
U082,P018,3.5,2025-03-14 23:59:42
U063,P041,4.0,2025-05-25 23:59:42
U036,P029,4.5,2025-07-06 23:59:42
U092,P019,4.0,2025-05-26 23:59:42
U035,P022,5.0,2025-05-05 23:59:42
U070,P006,4.0,2025-06-20 23:59:42
U020,P015,4.5,2025-04-18 23:59:42
U089,P010,4.0,2025-06-01 23:59:42
U009,P027,5.0,2025-04-12 23:59:42
U043,P035,5.0,2025-03-28 23:59:42
U054,P004,4.0,2025-06-03 23:59:42
U054,P025,3.5,2025-02-26 23:59:42
U090,P002,4.5,2025-02-28 23:59:42
U049,P031,4.0,2025-07-24 23:59:42
U046,P020,5.0,2025-04-17 23:59:42
U054,P035,5.0,2025-03-08 23:59:42
U078,P015,4.0,2025-03-23 23:59:42
U029,P018,3.5,2025-04-05 23:59:42
U063,P002,3.5,2025-04-17 23:59:42
U044,P043,3.5,2025-02-02 23:59:42
U052,P047,4.5,2025-06-13 23:59:42
U060,P009,4.0,2025-02-16 23:59:42
U069,P002,3.5,2025-04-16 23:59:42
U076,P037,4.0,2025-02-06 23:59:42
U004,P006,4.0,2025-02-11 23:59:42
U055,P009,3.5,2025-03-29 23:59:42
U024,P004,4.5,2025-05-20 23:59:42
U049,P021,5.0,2025-06-01 23:59:42
U059,P021,4.5,2025-04-30 23:59:42
U098,P025,4.0,2025-05-15 23:59:42
U097,P027,4.0,2025-05-22 23:59:42
U011,P031,4.5,2025-07-21 23:59:42
U096,P035,5.0,2025-07-12 23:59:42
U045,P015,3.5,2025-02-09 23:59:42
U009,P050,4.0,2025-02-09 23:59:42
U006,P049,4.5,2025-07-18 23:59:42
U032,P013,4.5,2025-07-20 23:59:42
U080,P010,4.0,2025-05-25 23:59:42
U017,P031,5.0,2025-02-04 23:59:42
U015,P037,4.0,2025-05-31 23:59:42
U060,P045,4.5,2025-05-21 23:59:42
U099,P024,5.0,2025-06-13 23:59:42
U078,P039,5.0,2025-06-26 23:59:42
U100,P011,3.5,2025-05-07 23:59:42
U014,P038,4.5,2025-07-19 23:59:42
U040,P037,3.5,2025-02-02 23:59:42
U049,P026,3.5,2025-06-05 23:59:42
U010,P038,4.0,2025-01-30 23:59:42
U081,P016,4.5,2025-06-29 23:59:42
U090,P050,5.0,2025-05-09 23:59:42
U088,P039,4.0,2025-06-25 23:59:42
U073,P003,4.5,2025-04-28 23:59:42
U069,P028,3.0,2025-02-06 23:59:42
U048,P005,4.0,2025-03-18 23:59:42
U083,P022,5.0,2025-07-22 23:59:42
U054,P032,4.0,2025-06-28 23:59:42
U056,P024,4.0,2025-02-13 23:59:42
U059,P046,3.0,2025-06-16 23:59:42
U056,P012,4.5,2025-03-14 23:59:42
U084,P018,3.5,2025-02-18 23:59:42
U069,P050,5.0,2025-03-24 23:59:42
U060,P028,4.0,2025-02-24 23:59:42
U035,P021,4.5,2025-05-24 23:59:42
U012,P018,5.0,2025-04-01 23:59:42
U032,P049,4.5,2025-03-29 23:59:42
U073,P040,3.5,2025-02-04 23:59:42
U049,P022,5.0,2025-07-18 23:59:42
U064,P021,4.5,2025-06-09 23:59:42
U063,P014,4.5,2025-04-26 23:59:42
U034,P022,4.5,2025-05-15 23:59:42
U077,P045,4.0,2025-05-16 23:59:42
U072,P001,4.0,2025-03-15 23:59:42
U025,P006,4.5,2025-05-25 23:59:42
U093,P027,3.0,2025-03-22 23:59:42
U072,P049,4.0,2025-05-25 23:59:42
U089,P031,4.0,2025-02-10 23:59:42
U092,P032,3.5,2025-04-02 23:59:42
U003,P006,5.0,2025-05-11 23:59:42
U029,P026,4.0,2025-01-29 23:59:42
U032,P020,4.0,2025-02-06 23:59:42
U075,P024,5.0,2025-03-26 23:59:42
U071,P034,5.0,2025-04-28 23:59:42
U055,P048,4.5,2025-03-07 23:59:42
U043,P023,3.5,2025-01-27 23:59:42
U059,P018,4.0,2025-05-08 23:59:42
U033,P015,4.5,2025-06-25 23:59:42
U093,P013,4.0,2025-05-06 23:59:42
U016,P048,4.0,2025-03-10 23:59:42
U098,P045,4.5,2025-06-08 23:59:42
U025,P014,3.5,2025-03-24 23:59:42
U036,P047,4.0,2025-02-25 23:59:42
U098,P034,3.0,2025-02-23 23:59:42
U037,P007,2.5,2025-06-06 23:59:42
U038,P015,4.0,2025-04-24 23:59:42
U023,P020,4.0,2025-07-22 23:59:42
U091,P035,5.0,2025-06-23 23:59:42
U036,P003,3.5,2025-07-12 23:59:42
U071,P019,4.0,2025-01-28 23:59:42
U017,P041,4.0,2025-03-22 23:59:42
U014,P001,4.5,2025-03-01 23:59:42
U037,P031,3.5,2025-03-25 23:59:42
U057,P022,5.0,2025-06-08 23:59:42
U007,P017,4.0,2025-03-25 23:59:42
U015,P005,3.5,2025-04-14 23:59:42
U063,P005,4.0,2025-02-28 23:59:42
U081,P044,4.5,2025-07-12 23:59:42
U020,P010,3.5,2025-03-03 23:59:42
U039,P006,4.0,2025-05-23 23:59:42
U016,P036,3.5,2025-04-10 23:59:42
U078,P039,5.0,2025-02-17 23:59:42
U029,P050,5.0,2025-03-14 23:59:42
U049,P029,5.0,2025-04-03 23:59:42
U039,P038,3.5,2025-04-07 23:59:42
U040,P037,5.0,2025-02-17 23:59:42
U008,P040,3.5,2025-06-30 23:59:42
U098,P014,4.0,2025-02-15 23:59:42
U028,P017,4.0,2025-02-06 23:59:42
U011,P011,4.0,2025-05-25 23:59:42
U023,P036,3.5,2025-07-06 23:59:42
U021,P001,3.5,2025-04-12 23:59:42
U058,P045,4.0,2025-02-23 23:59:42
U061,P019,4.0,2025-07-17 23:59:42
U030,P019,4.5,2025-05-14 23:59:42
U090,P030,5.0,2025-07-07 23:59:42
U088,P015,3.5,2025-05-19 23:59:42
U081,P038,4.5,2025-02-06 23:59:42
U026,P028,4.0,2025-06-26 23:59:42
U070,P015,4.5,2025-02-10 23:59:42
U020,P018,4.5,2025-06-19 23:59:42
U010,P004,4.0,2025-06-13 23:59:42
U040,P039,4.5,2025-03-02 23:59:42
U037,P029,5.0,2025-06-24 23:59:42
U060,P045,4.5,2025-05-09 23:59:42
U090,P026,3.5,2025-05-17 23:59:42
U065,P035,5.0,2025-03-21 23:59:42
U057,P006,4.5,2025-02-22 23:59:42
U006,P028,3.5,2025-05-04 23:59:42
U078,P017,4.0,2025-07-19 23:59:42
U012,P015,4.0,2025-02-03 23:59:42
U074,P038,4.0,2025-07-20 23:59:42
U098,P044,5.0,2025-05-18 23:59:42
U074,P003,4.5,2025-06-11 23:59:42
U061,P034,5.0,2025-02-09 23:59:42
U057,P018,5.0,2025-06-09 23:59:42
U075,P028,4.0,2025-02-13 23:59:42
U063,P006,4.5,2025-03-27 23:59:42
U045,P027,3.5,2025-05-01 23:59:42
U042,P043,4.0,2025-06-29 23:59:42
U021,P022,4.5,2025-04-11 23:59:42
U089,P032,4.0,2025-05-13 23:59:42
U085,P026,4.0,2025-03-07 23:59:42
U005,P030,4.0,2025-07-03 23:59:42
U041,P017,5.0,2025-05-04 23:59:42
U015,P050,4.0,2025-04-13 23:59:42
U066,P001,3.0,2025-02-07 23:59:42
U070,P030,5.0,2025-04-11 23:59:42
U007,P013,4.5,2025-03-15 23:59:42
U047,P040,4.5,2025-03-20 23:59:42
U081,P029,4.5,2025-07-12 23:59:42
U027,P018,4.0,2025-03-07 23:59:42
U017,P019,3.5,2025-04-04 23:59:42
U090,P032,4.0,2025-06-24 23:59:42
U004,P041,3.5,2025-02-20 23:59:42
U031,P046,4.0,2025-06-15 23:59:42
U040,P036,3.5,2025-07-22 23:59:42
U071,P027,3.5,2025-07-02 23:59:42
U029,P008,4.5,2025-03-29 23:59:42
U016,P042,4.5,2025-06-16 23:59:42
U064,P046,3.5,2025-05-12 23:59:42
U066,P046,3.0,2025-05-17 23:59:42
U054,P031,4.0,2025-03-27 23:59:42
U032,P030,4.5,2025-03-06 23:59:42
U019,P025,3.5,2025-06-07 23:59:42
U077,P033,3.5,2025-06-21 23:59:42
U009,P018,4.0,2025-04-10 23:59:42
U044,P033,3.0,2025-05-18 23:59:42
U001,P019,3.5,2025-05-10 23:59:42
U076,P038,4.0,2025-02-07 23:59:42
U063,P010,4.0,2025-04-02 23:59:42
U069,P031,4.5,2025-04-28 23:59:42
U043,P036,4.5,2025-03-08 23:59:42
U049,P030,5.0,2025-05-04 23:59:42
U025,P045,4.0,2025-05-25 23:59:42
U074,P025,4.0,2025-05-27 23:59:42
U100,P027,3.0,2025-07-14 23:59:42
U041,P048,4.0,2025-03-26 23:59:42
U091,P025,3.5,2025-04-18 23:59:42
U085,P042,4.5,2025-06-17 23:59:42
U064,P003,4.0,2025-06-23 23:59:42
U065,P038,4.5,2025-05-02 23:59:42
